station,email,city,country
Voice Radio,Contact@voiceradio.co,"Bangui, Central African Republic", Central African Republic
Free FM,info@freefm.org.nz,"Accra, Ghana", Ghana
Icengelo Radio,radioice@zamtel.zm,"Kaloko, Zambia", Zambia
1 fm,ericit@1fm.co.ke,"Nairobi, Kenya", Kenya
Contact FM,info@contactfm.co.rw,"Kigali, Rwanda", Rwanda
Metro 97.7 FM,info@metro977.fm,"Lagos, Nigeria", Nigeria
Jozi FM,tshepojnr@jozifm.co.za,"Soweto, South Africa", South Africa
Flash FM Rwanda,info@flashfm.rw,"Kigali, Rwanda", Rwanda
Trinity 96.7 fm,info@mytrinityfmonline.com,"Bogoso, Ghana", Ghana
Sky One Radio,contact@skyonecameroun.com,"Yaounde, Cameroon", Cameroon
Radio Tunis International,rtci@radiotunisienne.tn,"Tunis, Tunisia", Tunisia
Rail Bi FM 101.3,railbifm@gmail.com,"Dakar, Senegal", Senegal
Radio Continental,contactus@rc1023.fm,"Ikosi, Nigeria", Nigeria
Royal FM,info@theroyalfm.com,"Yenagoa, Nigeria", Nigeria
Radio Jam,jamfm@aviso.ci,"Abidjan, Côte d'Ivoire", Côte d'Ivoire
MBC Radio Rodrigues,customercare@mbc.intnet.mu,"Citronelle, Rodrigues Island, Mauritius", Mauritius
Radio Cocody FM,info@radiococodyfm.com,"Abidjan, Côte d'Ivoire", Côte d'Ivoire
Radio Mauritanie,info@radiomauritanie.mr,"Nouakchott, Mauritania", Mauritania
Radio Maranatha,maranatha.fm@serv.eit.bj,"Cotonou, Benin", Benin
MFM 92.6,sm@mfm.sun.ac.za,"Stellenbosch, South Africa", South Africa
Radio Gafsa,info@radiotunis.com,"Gafsa, Tunisia", Tunisia
Nigeriainfo FM 99.3 Lagos,info@nigeriainfo.fm,"Lagos, Nigeria", Nigeria
Radio Jambo,info@radiojambo.co.ke,"Nairobi, Kenya", Kenya
Radio Mauritanie,info@radiomauritanie.mr,"Nouakchott, Mauritania", Mauritania
Cool FM 96.9 Abuja,rcahilig@coollink.us,"Abuja, Nigeria", Nigeria
Times fm,info@timesfm.co.tz,"Dar Es Salaam, Tanzania", Tanzania
SRTC FM 100,fm100@sudanradio.info,"Omdurman, Sudan", Sudan
Radio Tiemeni Siantou,info@cameroonvoice.com,"Yaoundé, Cameroon", Cameroon
Radiocity,info@radiocity.ug,"Kampala, Uganda", Uganda
Radio Annaba,annabafm@gmail.com,"Annaba, Algeria", Algeria
Sweet Melodies FM,sweetmelodiesfm@gmail.com,"Accra, Ghana", Ghana
TUKS FM,info@tuksfm.co.za,"Pretoria, South Africa", South Africa
ZNBC Radio 2,hyde.haguta@znbc.co.zm,"Lusaka, Lusaka, Zambia", Zambia
Mostaganem FM,contact@radiomostaganem.net,"Algiers , Algeria", Algeria
Al Nour FM,radio@radio-mali.ml,"Koulikoro, Mali", Mali
Lutheran Radio Centre,redio@elct.org,"Moshi, Tanzania", Tanzania
Voice of Wits,info@vowfm.co.za,"Johannesburg, South Africa", South Africa
RTS Radio 1,rts@rts.n,"Dakar, Senegal", Senegal
TWR Voice of the Church,info@twrafrica.org,"Lavumisa, Swaziland", Swaziland
Wazobia FM 95.1 Lagos,rcahilig@coollink.us,"Lagos, Nigeria", Nigeria
Citi FM,info@citifmonline.com,"Accra, Ghana", Ghana
Power fm,info@powerfm.co.ug,"Kampala, Uganda", Uganda
Urban Hit,contact@urbanhit.fm,"Saint-Denis, Reunion", Reunion
Space FM,info@spacefmghana.com,"Sunyani, Ghana", Ghana
Nogoum FM,contactnrp@nileradioproductions.net,"Cairo, Egypt", Egypt
Rahma Radio 97.3,rahmaradio@yahoo.com,"Kano, Nigeria", Nigeria
Mlimani FM,sjmc@udsm.ac.tz,"Dar es Salaam, Tanzania", Tanzania
Atlantic Radio,info@atlanticradio.ma,"Casablanca, Morocco", Morocco
EXO FM,gtmoi974@yahoo.fr,"Saint-Denis, Reunion", Reunion
Kass FM,info@kassfm.co.ke,"Nairobi, Kenya", Kenya
BBC World Service Wad Madani,worldservice@bbc.co.uk,"Wad Madani, Sudan", Sudan
Paragon 99.9,info@paragon999.com,"Takoradi, Ghana", Ghana
Sankofa Radio,info@sankofaradio.com,"Kumasi, Ghana", Ghana
RB1-Radio Botswana,asesinyi@gov.bw,"Gaborone, Botswana", Botswana
AGOO EAST,info@agooeast.com,"NkawKaw, KW, Ghana", Ghana
Alpha Fm,damasese@operamail.com,"Kampala, Uganda", Uganda
Eko FM,"INFO@RADIOLAGOSEKOFM.NET,","Lagos, Nigeria", Nigeria
Atinka 104.7 FM,info@atinkaonline.com,"Accra, Ghana", Ghana
Agoro na eye de, info@agorofmonline.com,"Berekum, Ghana", Ghana
TWR Africa,info@twrafrica.org,"Blantyre, Malawi", Malawi
Bryt Fm,info@brytfmonline.com,"Koforidua, Ghana", Ghana
Radio Madagascar > RNA Antalaha,contact@rna-madagascar.com,"Antalaha, Madagascar", Madagascar
Fox FM,info@fox979.com,"Kumasi, Ghana", Ghana
Radio Maria (Rwanda), radiomariarwanda@gmail.com,"Kigali, Rwanda", Rwanda
KBC - Kiswahili,md@kbc.co.ke,"Limuru, Nairobi, Kenya", Nairobi
Gabz FM,mail@gabzfm.com,"Gaborone, Botswana", Botswana
Radio Des Jeunes FM,contact@rdeejay.net,"Antananarivo, Madagascar", Madagascar
88.1 Ssuubi FM Masaka,abmasembe.md@ssuubifmradio.com,"Masaka, Uganda", Uganda
Morning Star Radio,info@morningstaradio.or.tz,"Dar es Salaam, Tanzania", Tanzania
Radio N'Gola Yetu RNA,rna@rna.ao,"Luanda, Angola", Angola
BBC World Service Dakar,bbcwsafrica@bbc.co.uk,"Dakar, Senegal", Senegal
Radio Waumini,it@radiowaumini.org,"Nairobi, Kenya", Kenya
Savane FM,contact@savanefm.net,"Ouagadougou, Burkina Faso", Burkina Faso
BBC World Service Mombasa,bbcwsafrica@bbc.co.uk,"Mombasa, Mombasa, Kenya", Kenya
KBC Mayienga FM,kisumu.staions@kbc.co.ke,"Kisumu, Kenya", Kenya
Boss FM,bossfmonline@yahoo.com,"Kumasi, Ghana", Ghana
Capital Radio,info@capitalradiosudan.com,"Khartoum, Sudan", Sudan
Wild Coast FM,studio@wildcoastfm.co.za,"East London, South Africa", South Africa
KOI FM,direct@koifm.re,"LE PORT, Reunion", Reunion
Radio Ngoma,admin@rnafizi.net,"Fizi, DR Congo", DR Congo
Joy FM,info@myjoyonline.com,"Accra, Ghana", Ghana
Lamp Fall FM,fallamptv@gmail.com,"Dakar, Senegal", Senegal
Radio Phoenix,rphoenix@zamnet.zm,"Lusaka, Zambia", Zambia
ORTM Chaine 2,ortm@ortm.ml,"Bamako, Mali", Mali
Pravda Radio,info@pravdaradioonline.com,"Accra, Ghana", Ghana
Imani Radio,Info@imaniradio.org,"Kitale, Kenya", Kenya
Fun Radio Reunion,radio@funradio.re,"Saint-Denis, Reunion", Reunion
Paradise FM,psdrammtg.edu.gmeh@u,"Farafenni, Gambia", Gambia
Radio Unitas,unitasdbg@voil%C3%A0.fr,"Diebougou, Burkina Faso", Burkina Faso
Rainbow FM,info@rainbowfm.co.za,"Johannesburg, South Africa", South Africa
Ogun Radio,info@ogunradio.com,"Abeokuta, Nigeria", Nigeria
Alpha Radio,alpharadio1049@yahoo.com,"Kumasi, Ghana", Ghana
Impact Fm Kampala Uganda,info@victoryuganda.org,"Kampala, Kampala, Uganda", Uganda
AYV Radio,info@ayvradio.com,"Freetown, Sierra Leone", Sierra Leone
Thobela FM,Thobelafm@sabc.co.za,"Johannesburg, South Africa", South Africa
RADIO KHERI,ramapride@878pridefm.com,"Dar es Salaam, Tanzania", Tanzania
BBC World Service Maputo,bbcwsafrica@bbc.co.uk,"Maputo, Mozambique", Mozambique
Kapital FM,info@radionigeria.net,"Abuja, Nigeria", Nigeria
City 105.1 FM,obioma@city1051fm.com,"Ikeja, Nigeria", Nigeria
Express FM,contact@expressfm.tn,"Tunis, Tunisia", Tunisia
Radio Maxx 105.1 FM,info@radiomaxxonline.com,"Sekondi-Takoradi, Ghana", Ghana
Radio Huruma,radiohuruma@gmail.com,"Tanga, Tanzania", Tanzania
Mama FM,umwa@africaonline.co.ug,"Mamba, FM, Uganda", Uganda
Studio Ijambo,mdiego@sfcg.org.bi,"Bujumbura, Burundi", Burundi
Radio 5,rna@rna.ao,"Luanda, Angola", Angola
Africa N°1,africa@africa1.com,"Niamey, Niger", Niger
LibyanaHITS FM,info@libyanahits.fm,"Benghazi, Libyan Arab Jamahiriya", Libyan Arab Jamahiriya
nananom fm,nananom92.5fm@gmail.com,"Goaso, Ghana", Ghana
BBC World Service Bujumbura,bbcwsafrica@bbc.co.uk,"Bujumbura, Burundi", Burundi
Radio Regionale,mail@aintemouchentfm.com,"'Ain Temouchent, Algeria", Algeria
Arusha Mambo FM,emtowe@arushamambo.com,"Arusha, Tanzania", Tanzania
Hot FM,info@hot877.com,"Lusaka, Zambia", Zambia
The Beat,enquiries@thebeat99.com,"Lagos, Nigeria", Nigeria
Angel FM,info@angelfmonline.com,"Kumasi, Ghana", Ghana
Radio 9090,info@mobtada.com,"Cairo, Egypt", Egypt
SaharaMedia FM,saharamedias@gmail.com,"Nouakchott, Mauritania", Mauritania
MBC Taal FM,customercare@mbc.intnet.mu,"Port Louis, Mauritius", Mauritius
Radio Luanda RNA,rluanda@rna.ao,"Luanda, Angola", Angola
102.7 NAIJA FM,info@naija102.com,"Lagos, Nigeria", Nigeria
Jesus is Lord Radio,jesusislord.fmradio@gmail.com,"Nakuru, Kenya", Kenya
Chaîne Inter RTS,rts@rts.sn,"Dakar, Senegal", Senegal
Ark FM 107.1 MHz,info@myarkfmonline.com,"Sunyani, Ghana", Ghana
Dala FM,info@dalafmkano.com,"Dala, Nigeria", Nigeria
HHC Alive FM Radio,info@hhcalivefm.org,"Mwanza, Tanzania", Tanzania
Metro 94.1 FM,samson.deen@metro941.fm,"Kumasi, Ghana", Ghana
Tripoli FM,info@tripolifm.ly,"Tripoli, Libyan Arab Jamahiriya", Libyan Arab Jamahiriya
BBC World Service Freetown,bbcwsafrica@bbc.co.uk,"Freetown, Sierra Leone", Sierra Leone
BBC World Service Bamako,worldservice@bbc.co.uk,"Bamako, Bamako, Mali", Mali
SFM - SOICO FM,sfm@soico.co.mz,"Maputo, Mozambique", Mozambique
Skyy Power FM,info@skyypowerfmonline.com,"Takoradi, Ghana", Ghana
Shabab Libya FM,info@101LY.com,"Benghazi, Libyan Arab Jamahiriya", Libyan Arab Jamahiriya
Wazobia FM 94.1 PH,info@wazobiafm.com,"Port Harcourt, Rivers, Nigeria", Nigeria
Radio Biskra,radio.biskra@gmail.com,"Biskra, Algeria", Algeria
GHRadio1,contact@ghradio1.com,"Kumasi, Ghana", Ghana
KBC - Western,md@kbc.co.ke,"Kisumu, Kenya", Kenya
Eldos FM,missb@eldosfm.co.za,"Johannesburg, South Africa", South Africa
Africa N°1,africa@africa1.com,"N'Djamena, Chad", Chad
Radio Tygerberg FM,willem@104fm.org.za,"Bellville, South Africa", South Africa
Radio Tunis Culture,radio.culturelle@radiotunisienne.tn,"Remada, Tunisia", Tunisia
The Voice of the Cape,info@vocfm.co.za,"Tygerberg Hills, South Africa", South Africa
Radio Maria (Rwanda),radiomariarwanda@gmail.com,"Kigali, Rwanda", Rwanda
Radio Madjoura Touba, madjourafm@gmail.com,"Touba, Mali", Mali
Radio 2000,info@radio2000.co.za,"Parsons Hill, South Africa", South Africa
Africa N°1,africa@africa1.com,"Abidjan, Côte d'Ivoire", Côte d'Ivoire
Buddu Fm,info@imbaraga.com,"Masaka, Uganda", Uganda
Hope FM,info@hopefm.org,"Nairobi, Kenya", Kenya
Espace FM,services@espacefmguinee.info,"Conakry, Guinea", Guinea
Radio Comores,naynour@hotmail.com,"Moroni, Comoros", Comoros
Sheger 102.1 FM,info@shegerfm.com,"Addis Abeba, Ethiopia", Ethiopia
Radio Canal 2000,canal2000@spider.toolnet.org,"Bamako, Mali", Mali
Radio Vie Reunion,radiovie@orange.fr,"Saint-Denis, Reunion", Reunion
Classic FM,info@classicfm.co.za,"Johannesburg, South Africa", South Africa
Radio Rwanda,skarere@rba.co.rw,"Kigali, Kigali, Rwanda", Rwanda
Radio Skikda,info@radio-skikda.dz,"Skikda, Algeria", Algeria
Liberty Radio Hausa,libertyradiong@gmail.com,"Kaduna, Nigeria", Nigeria
Africa N°1,africa@africa1.com,"Yaoundé, Cameroon", Cameroon
Freedom Radio,info@freedomradionig.com,"Kano, Nigeria", Nigeria
SeneRadio FM,senegalmusique@gmail.com,"Dakar, Senegal", Senegal
Radio Freedom FM,freedom@guetali.fr,"Saint-Denis, Reunion", Reunion
Réveil FM,contactez webmaster@disnet.8k.com,"Kinshasa, DR Congo", DR Congo
Shalom FM,info@berekumcity.com,"Berekum, Ghana", Ghana
VIRGIN CITY RADIO,virgincityfm@yahoo.com,"KONONGO, Ghana", Ghana
Rainbow 94.1 FM,balogun.olakunle@rainbow941.fm,"Isheri-Olofin, Nigeria", Nigeria
Radio Pacis,tonino.p.arua@radiopacis.org,"Arua, Uganda", Uganda
Radio Mars,"contact@radiomars.ma        ""","Casablanca, Morocco", Morocco
Radio Sonder Grense,rekenaar@rsg.co.za,"Durban, South Africa", South Africa
Kass FM,info@kassfm.co.ke,"Mombasa, Kenya", Kenya
ZNBC Radio 2,hyde.haguta@znbc.co.zm,"Kitwe, Zambia", Zambia
Sunsum FM,info@sunsumfmonline.com,"Kumasi, Ghana", Ghana
Akasanoma Radio Ghana,ANTHONYVELSCO@GMAIL.COM,"Accra, Ghana", Ghana
Radio Democracy, info@radiodemocracy.sl,"Freetown, Sierra Leone",Sierra Leone
91.2 Crooze FM,info@croozefm.com,"Mbarara, Uganda", Uganda
R Tunis Nationale,info@radiotunis.com,"Tunis, Tunisia", Tunisia
KBC Coro FM,corofm@kbc.co.ke,"Nairobi, Kenya", Kenya
Radio Ndeke Luka,princegboute@hotmail.fr,"Bangui, Central African Republic", Central African Republic
Radio Voanio,radio@voanio.com,"Toamasina, Madagascar", Madagascar
GBC Uniiq FM,info@gbcghana.com,"Accra, Ghana", Ghana
Anidaso 101.5 FM,info@anidasofm.com,"Japekrom, Ghana", Ghana
Calvary Radio,Comments@Calvary105.com,"Soroti, Uganda", Uganda
Royal FM 95.1 Ilorin,radio951@royalfm.net,"Ilorin, Nigeria", Nigeria
Radio Balafon,contact@radiobalafon.com,"Douala, Cameroon", Cameroon
UJFM,enquiries@ujfm.co.za,"Johannesburg, South Africa", South Africa
BBC World Service Maseru,bbcwsafrica@bbc.co.uk,"Maseru, Lesotho", Lesotho
Lotus FM,info@lotusfm.co.za,"Durban, South Africa", South Africa
BBC World Service Ouagadougou,worldservice@bbc.co.uk,"Ouagadougou, Ouagadougou, Burkina Faso", Burkina Faso
RSL Radio,contact@rslradio.fm,"La Riviere, Reunion", Reunion
FoP Radio,fopnetwork@gmail,"Moyamba, Sierra Leone", Sierra Leone
Zami 90.7 FM,contact@zamiradio.com,"Addis Ababa, Ethiopia", Ethiopia
Y FM,yfm@yfm.co.za,"Johannesburg, South Africa", South Africa
Radio C-Flat,radcflat@iafrica.com,"Cape Town, South Africa", South Africa
Smooth 98.1,info@smooth981.fm,"Lagos, Nigeria", Nigeria
ZNBC Radio 4,hyde.haguta@znbc.co.zm,"Kitwe, Zambia", Zambia
Radio Helderberg,contact@radiohelderberg.co.za,"Helderberg, South Africa", South Africa
Ghana Today Radio,info@ghanatoday.com,"Accra, Ghana", Ghana
Africa N°1,africa@africa1.com,"Libreville, Gabon", Gabon
Cool FM 96.9 Lagos,rcahilig@coollink.us,"Lagos, Nigeria", Nigeria
Wazobia FM 99.5 Abuja,rcahilig@coollink.us,"Abuja, Nigeria", Nigeria
A1 Radio 101.1MHz,info@a1radioonline.com,"Bolgatanga, Ghana", Ghana
Khartoum FM,admin@kfm89.net,"Khartoum, Sudan", Sudan
BBC World Service Kinshasa,bbcwsafrica@bbc.co.uk,"Kinshassa, Congo", Congo
Cool FM 95.9 PH,rcahilig@coollink.us,"Port Harcourt, Nigeria", Nigeria
Africa N°1,africa@africa1.com,"Bamako, Mali", Mali
Radio 2M,srafie@2m.ma,"Rabat, Morocco", Morocco
Etop FM 99.4,info@sayituganda.com,"Soroti, Uganda", Uganda
Medi 1,medi1@medi1.com,"Tangier, Morocco", Morocco
EBONY FM,info@ebonyfm.com,"Iringa, Tanzania", Tanzania
Coal City FM,info@radionigeria.net,"Enugu, Nigeria", Nigeria
Taranga FM,alagie72@yahoo.com,"Banjul, Gambia", Gambia
SplashFM,info@splashfm1055.com,"Ibadan, Nigeria", Nigeria
House Frequency,info@housefrequency.net,"Johannesburg, South Africa", South Africa
Radio Kef,info@radiotunis.com,"El Kef, Tunisia", Tunisia
Radio Safina,dchristlife@yahoo.com,"Arusha, Tanzania", Tanzania
Radio Jawhara,ridhabnj@gmail.com,"Sousse, Tunisia", Tunisia
Xlive Africa,info@xliveafrica.com,"Accra, Greater Accra, Ghana", Ghana
729AM Cape Pulpit,gospel@capepulpit.co.za,"Bellville, South Africa", South Africa
Radio Algerienne Culture,info@algerian-radio.dz,"Algiers, Algeria", Algeria
Radio Maria (Rwanda),radiomariarwanda@gmail.com,"Kigali, Rwanda", Rwanda
Radio Oasis Fm,contact@oasisfm.tn,"Gabès, Tunisia", Tunisia
Radio Tabalé,radiotable@yahoo.fr,"Bamako, Mali", Mali
